make,model,variant,year,transmission,bodyType,fuelType,ownerNumber,odometerReading,cityRto,listingPrice,fitnessUpto,insuranceType,duplicateKey,city,registrationYear,registrationMonth,websiteUrl
BMW,3 Series GT [2014-2016],320d Luxury Line [2014-2016],2018,"Automatic - 8 Gears, Manual Override, Sport Mode",Sedan,Diesel,First,"55,000",TN02DC9000,3400000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-3-series-gt/7dfe5fb04a22442ab4a53eeacac43daa/
BMW,6 Series GT [2018-2021],620d Luxury Line [2019-2019],2019,"Automatic - 8 Gears, Manual Override, Sport Mode",Sedan,Diesel,First,"37,000",TN01AA2399,4750000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-6-series-gt/f8eb5197e8294850ab628a0049ce2d64/
Hyundai,Xcent [2014-2017],S AT 1.2,2016,Automatic - 4 Gears,Compact Sedan,Petrol,Second,"1,22,432",TN85D5614,438000,MISSING,Expired,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/hyundai-xcent/zvlcewbj/
Maruti Suzuki,Celerio [2017-2021],VXi AMT [2019-2020],2019,"AMT - 5 Gears, Manual Override",Hatchback,Petrol,First,"70,604",TN09CU3957,449000,MISSING,Expired,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/maruti-suzuki-celerio/b8zz7qq5/
Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2018,Manual - 5 Gears,Hatchback,Petrol,Second,"33,339",TN12Y7939,455000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/hyundai-grand-i10/g9lfqt4p/
Mahindra,Thar,LX Hard Top Petrol AT,2022,"Automatic (TC) - 6 Gears, Manual Override",SUV,Petrol,First,"9,448",TN14Z7815,1492000,MISSING,Expired,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mahindra-thar/nrm1jebk/
Maruti Suzuki,Ignis [2017-2019],Zeta 1.2 AMT,2017,"AMT - 5 Gears, Manual Override",Hatchback,Petrol,Second,"48,864",TN12V4199,479000,MISSING,,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/maruti-suzuki-ignis/dtkha72e/
Volkswagen,Ameo,Highline Plus 1.0L (P) 16 Alloy,2018,Manual - 5 Gears,Compact Sedan,Petrol,Third,"35,772",TN10BH0630,564000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/volkswagen-ameo/amuyn2qw/
Honda,Jazz [2015-2018],V Petrol,2016,Manual - 5 Gears,Hatchback,Petrol,First,"1,22,231",TN01BA1987,451000,MISSING,Expired,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/honda-jazz/0vef46bw/
Honda,Amaze [2013-2016],1.2 S AT i-VTEC,2014,Automatic - 5 Gears,Sedan,Petrol,Second,"53,558",TN11F8229,408000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/honda-amaze/k4kczatc/
